Rank,Team,Run,Accuracy,F1 (weighted)
1,tubasfs,run1,0.893833333333,0.893796406734
2,SUKI,run1,0.887916666667,0.887748322886
3,GWU_LT3,run3,0.887,0.887042322769
4,nrc,run1,0.885916666667,0.885939778173
5,UPV_UA,run1,0.883333333333,0.883806198851
6,PITEOG,run3,0.882666666667,0.882919015979
7,andre,run1,0.8845,0.881392826546
8,XAC,run3,0.879,0.878698992489
9,ASIREM,run1,0.877916666667,0.877819572495
10,hltcoe,run1,0.87725,0.87692195209
11,UniBucNLP,run2,0.86475,0.864348822742
12,HDSL,run1,0.8525,0.851692603634
13,Citius_Ixa_Imaxin,run2,0.8525,0.850163921859
14,ResIdent,run3,0.84875,0.846656426925
15,eire,run1,0.837666666667,0.831693126067
16,mitsls,run3,0.830666666667,0.829920084708
17,Uppsala,run2,0.82525,0.823981306924
