Rank,Team,Run,Accuracy,F1 (weighted)
1,GWU_LT3,run1,0.92,0.919383879868
2,nrc,run1,0.914,0.913398178429
3,UniBucNLP,run1,0.898,0.896914935602
4,UPV_UA,run2,0.888,0.886328942533
5,tubasfs,run1,0.862,0.860211766986
6,eire,run1,0.806,0.793396489451
7,PITEOG,run1,0.8,0.792879426294
8,Citius_Ixa_Imaxin,run1,0.708,0.712693749053
9,ResIdent,run3,0.688,0.686800174197
10,HDSL,run1,0.698,0.686445145491
11,Uppsala,run2,0.682,0.684943908552
12,SUKI,run3,0.688,0.671892803867
13,XAC,run2,0.618,0.594370414399
14,hltcoe,run1,0.53,0.510105120265
