Rank,Team,Run,Accuracy,F1 (weighted)
1,MAZA,run3,0.511688311688,0.513162513951
2,UnibucKernel,run3,0.509090909091,0.513084066396
3,QCRI,run1,0.513636363636,0.511212132492
4,ASIREM,run1,0.496753246753,0.494552431822
5,GWU_LT3,run3,0.49025974026,0.492206387294
6,mitsls,run3,0.485064935065,0.483376703819
7,SUKI,run1,0.488311688312,0.481812271912
8,UniBucNLP,run3,0.475324675325,0.474201261049
9,tubasfs,run1,0.474675324675,0.47248808419
10,HDSL,run1,0.457792207792,0.459018235924
11,PITEOG,run2,0.461038961039,0.451642514757
12,ALL,run1,0.428571428571,0.434857872179
13,cgli,run3,0.437662337662,0.432885345815
14,AHAQST,run1,0.427922077922,0.426428270146
15,hltcoe,run1,0.412337662338,0.412701712405
16,Citius_Ixa_Imaxin,run1,0.387012987013,0.381732514347
17,eire,run1,0.358441558442,0.345504833515
18,UCREL,run2,0.261038961039,0.244067497339
